trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
304,False,"{'e': 0.004127844174255439, 'a': 0.54}",25,11,0.9960002280317075,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
305,False,"{'e': 0.004054207695600917, 'a': 0.54}",20,16,7.863691154665926,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'e': 0.003981884815706365, 'a': 0.54}",20,13,11.966766168666918,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'e': 0.003910852101326006, 'a': 0.54}",20,8,10.017444258613386,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'e': 0.003841086537238981, 'a': 0.54}",25,0,16.428587538234805,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
309,False,"{'e': 0.0037725655187922087, 'a': 0.54}",25,14,21.098276324120256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'e': 0.0037052668445762813, 'a': 0.54}",20,0,30.08049900424534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
311,False,"{'e': 0.0036391687092320246, 'a': 0.54}",35,18,32.09522283720864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'e': 0.0035742496963853507, 'a': 0.54}",20,16,7.343411301490532,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'e': 0.0035104887717081795, 'a': 0.54}",35,21,24.022939434155212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'e': 0.0034478652761031265, 'a': 0.54}",20,3,-12.146304932353642,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
315,False,"{'e': 0.003386358919009785, 'a': 0.54}",20,2,32.53019200105812,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'e': 0.0033259497718303903, 'a': 0.54}",20,8,20.86457118427763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'e': 0.0032666182614727915, 'a': 0.54}",25,15,18.2342671820317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'e': 0.0032083451640085923, 'a': 0.54}",20,2,24.599028307212453,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'e': 0.0031511115984444414, 'a': 0.54}",20,14,10.303150364058828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'e': 0.0030948990206044083, 'a': 0.54}",20,9,23.244062564202547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'e': 0.00303968921712152, 'a': 0.54}",20,8,21.369255980900984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'e': 0.0029854642995364674, 'a': 0.54}",25,16,15.416519260140538,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'e': 0.002932206698501586, 'a': 0.54}",20,2,23.66976438265465,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'e': 0.002879899158088243, 'a': 0.54}",20,5,-15.468762034313867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
325,False,"{'e': 0.0028285247301957504, 'a': 0.54}",25,14,17.574535337614314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'e': 0.0027780667690600427, 'a': 0.54}",20,11,-29.880189649169367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
327,False,"{'e': 0.0027285089258602987, 'a': 0.54}",30,12,33.725015516173876,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'e': 0.00267983514342179, 'a': 0.54}",20,7,23.997200297781657,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'e': 0.0026320296510132005, 'a': 0.54}",20,7,23.491068868888462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'e': 0.0025850769592367833, 'a': 0.54}",20,0,18.579674839325893,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
331,False,"{'e': 0.0025389618550096544, 'a': 0.54}",20,16,7.731321035162381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'e': 0.002493669396634629, 'a': 0.54}",25,8,22.088552114909,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'e': 0.0024491849089589685, 'a': 0.54}",20,4,25.440456969236482,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'e': 0.0024054939786195117, 'a': 0.54}",25,12,18.455741704094585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'e': 0.002362582449372616, 'a': 0.54}",25,16,17.932710736939782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'e': 0.00232043641750741, 'a': 0.54}",25,7,33.01063094783903,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'e': 0.002279042227340875, 'a': 0.54}",30,11,23.413960489433524,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
338,False,"{'e': 0.0022383864667932757, 'a': 0.54}",20,6,2.4244651700554067,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
339,False,"{'e': 0.002198455963042533, 'a': 0.54}",20,0,27.164883867940897,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
